,entropy,true_labels,pred_labels,condition,is_prediction_correct
0,0.0,8,8,DUQ-Quant,True
1,0.0,8,8,DUQ-Quant,True
2,0.0,9,9,DUQ-Quant,True
3,0.0,1,1,DUQ-Quant,True
4,0.0,3,3,DUQ-Quant,True
5,0.0,4,4,DUQ-Quant,True
6,0.0,1,1,DUQ-Quant,True
7,0.0,6,6,DUQ-Quant,True
8,0.0,6,6,DUQ-Quant,True
9,0.0,8,8,DUQ-Quant,True
10,0.0,6,6,DUQ-Quant,True
11,0.0,6,6,DUQ-Quant,True
12,0.0,9,9,DUQ-Quant,True
13,0.0,6,6,DUQ-Quant,True
14,0.0,8,8,DUQ-Quant,True
15,0.0,9,9,DUQ-Quant,True
16,0.0,3,3,DUQ-Quant,True
17,0.0,4,4,DUQ-Quant,True
18,0.0,1,1,DUQ-Quant,True
19,0.0,7,7,DUQ-Quant,True
20,0.0,1,1,DUQ-Quant,True
21,0.0,4,4,DUQ-Quant,True
22,0.0,2,2,DUQ-Quant,True
23,0.0,8,8,DUQ-Quant,True
24,0.0,6,6,DUQ-Quant,True
25,0.0,6,6,DUQ-Quant,True
26,0.0,1,1,DUQ-Quant,True
27,0.0,7,7,DUQ-Quant,True
28,0.0,1,1,DUQ-Quant,True
29,0.0,4,4,DUQ-Quant,True
30,0.0,5,5,DUQ-Quant,True
31,0.0,4,4,DUQ-Quant,True
32,0.0,4,4,DUQ-Quant,True
33,0.0,2,2,DUQ-Quant,True
34,0.0,3,3,DUQ-Quant,True
35,0.0,6,6,DUQ-Quant,True
36,0.0,5,5,DUQ-Quant,True
37,0.0,0,0,DUQ-Quant,True
38,0.0,1,1,DUQ-Quant,True
39,0.0,7,7,DUQ-Quant,True
40,0.0,8,0,DUQ-Quant,False
41,0.0,9,9,DUQ-Quant,True
42,0.0,2,2,DUQ-Quant,True
43,0.0,2,2,DUQ-Quant,True
44,0.0,1,1,DUQ-Quant,True
45,0.0,6,6,DUQ-Quant,True
46,0.0,7,7,DUQ-Quant,True
47,0.0,2,2,DUQ-Quant,True
48,0.0,9,9,DUQ-Quant,True
49,0.0,8,8,DUQ-Quant,True
50,0.0,7,7,DUQ-Quant,True
51,0.0,6,6,DUQ-Quant,True
52,0.0,3,3,DUQ-Quant,True
53,0.0,3,3,DUQ-Quant,True
54,0.0,8,8,DUQ-Quant,True
55,0.0,1,1,DUQ-Quant,True
56,0.0,0,0,DUQ-Quant,True
57,0.0,0,0,DUQ-Quant,True
58,0.0,7,7,DUQ-Quant,True
59,0.0,1,1,DUQ-Quant,True
60,0.0,1,1,DUQ-Quant,True
61,0.0,7,7,DUQ-Quant,True
62,0.0,3,3,DUQ-Quant,True
63,0.0,6,6,DUQ-Quant,True
64,0.0,6,6,DUQ-Quant,True
65,0.0,9,9,DUQ-Quant,True
66,0.0,6,6,DUQ-Quant,True
67,0.0,5,5,DUQ-Quant,True
68,0.0,0,0,DUQ-Quant,True
69,0.0,8,8,DUQ-Quant,True
70,0.0,2,2,DUQ-Quant,True
71,0.0,3,3,DUQ-Quant,True
72,0.0,7,7,DUQ-Quant,True
73,0.0,4,4,DUQ-Quant,True
74,0.0,0,0,DUQ-Quant,True
75,0.0,3,3,DUQ-Quant,True
76,0.0,8,8,DUQ-Quant,True
77,0.0,0,0,DUQ-Quant,True
78,0.0,5,5,DUQ-Quant,True
79,0.0,8,8,DUQ-Quant,True
80,0.0,5,5,DUQ-Quant,True
81,0.0,3,3,DUQ-Quant,True
82,0.0,3,3,DUQ-Quant,True
83,0.0,7,7,DUQ-Quant,True
84,0.0,3,3,DUQ-Quant,True
